# de clusters, Etiqueta del cluster, Aciertos, Fallos
2, Iris-setosa, 50, 0
2, Iris-versicolor, 50, 50
2, error total, 0.333333333333
3, Iris-setosa, 50, 0
3, Iris-versicolor, 40, 8
3, Iris-virginica, 42, 10
3, error total, 0.12
4, Iris-setosa, 50, 0
4, Iris-versicolor, 26, 1
4, Iris-versicolor, 24, 19
4, Iris-virginica, 30, 0
4, error total, 0.133333333333
5, Iris-setosa, 50, 0
5, Iris-versicolor, 26, 1
5, Iris-virginica, 27, 0
5, Iris-versicolor, 20, 1
5, Iris-virginica, 21, 4
5, error total, 0.04
